term,normalized_term,category
anteroventral periventricular nucleus,anteroventral periventricular nucleus,anatomy
nucleus of hypothalamus,nucleus hypothalamus,anatomy
"Globosus, Nucleus",nucleus,anatomy
"central gray, alpha part",central gray alpha part,anatomy
dorsal motor nucleus of the vagus nerve,dorsal motor nucleus vagus nerve,anatomy
white column of spinal cord,white column spinal cord,anatomy
lacunar-molecular layer of CA1 field,lacunar molecular layer ca1 field,anatomy
layer of dentate gyrus,layer dentate gyrus,anatomy
intermediodorsal nucleus of the thalamus,nucleus thalamus,anatomy
basal nucleus,basal nucleus,anatomy
paravermic lobule X,lobule x,anatomy
layer 3 of neocortex,layer neocortex,anatomy
sensory component of the VIIth (facial) nerve,sensory component facial nerve,anatomy
anterolateral visual area,anterolateral visual area,anatomy
cerebellar lobe,cerebellum lobe,anatomy
anterior thalamic tubercle,anterior thalamic tubercle,anatomy
Adenohypophyses,,anatomy
serotonergic nuclei,serotonergic nuclei,anatomy
nucleus of the brachium of the inferior colliculus,nucleus brachium inferior colliculus,anatomy
"isocortex, polymorph layer",isocortex layer,anatomy
somatosensory areas,somatosensory areas,anatomy
ventral cortical nucleus of amygdala,ventral cortical nucleus amygdala,anatomy
Infundibulum (Hypophysis),infundibular,anatomy
inferior occipitofrontal fasciculus,inferior occipito temporal fasciculus,anatomy
"inferior olive, principal nucleus",inferior olive principal nucleus,anatomy
cortical layer III,cortical layer iii,anatomy
Cerebellar Vermis,cerebellar vermis,anatomy
tenia of the thalamus,thalamus,anatomy
Gyrus Precentralis,gyrus,anatomy
"Protuberancials, Tegmentum",tegmentum,anatomy
paramedian lobule,paramedian lobule,anatomy
lacunar-molecular layer of CA3 field,lacunar molecular layer ca3 field,anatomy
prosubiculum = distal ca1,distal ca1,anatomy
A12 dopaminergic cell group,a12 dopamine cell group,anatomy
cerebellar tonsil,cerebellar tonsil,anatomy
periventricular hypothalamic nucleus,periventricular hypothalamus nucleus,anatomy
tectal tracts,tectal tract,anatomy
mesial pallidum,mesial pallidus,anatomy
nucleus of tectum,nucleus tectum,anatomy
cuneate fasciculus of spinal cord,cuneate fasciculus spinal cord,anatomy
entorhinal cortex layer 2,entorhinal cortex layer,anatomy
posterior part of the medial amygdaloid nucleus,posterior part medical amygdaloid nucleus,anatomy
posterior region of motor thalamus,posterior region motor thalamus,anatomy
intermediate olfactory stria,intermediate olfactory stria,anatomy
inferior temporal white matter,inferior temporal white matter,anatomy
