normalized_term,category
a1,
a10,
a11,
a12,
a15,
a2,
a3,
a4,
a5,
a6,
a7,
a8,
a9,
ab,psychology
abdominal,disease
abducens,
aberrant,
abilities,
abilities social,psychology
ability,
ability social,psychology
ability spatial,psychology
abnormal,
abscess,
absence,
absence epilepsy,disease
absence seizure,disease
absent,
abstinence,
abstinence alcohol,psychology
abstract,
abstract knowledge,psychology
abuse,psychology
abuse alcohol,psychology
abuse cocaine,psychology
ac,
ac pc line,anatomy
academic,
acalculia,psychology
acc,
acceptability,
acceptance,
acceptor,
access,
accessory,anatomy
accessory olfactory bulb,anatomy
accident,psychology
accountability,psychology
accumbens,
accumulation,
accuracy,
accurate,
acg,
ache,psychology
achievement,psychology
acid,
acidosis,
acoustic,disease
acoustic processing,psychology
acoustic startle reflex,psychology
acoustic trauma,disease
acquired,disease
acquired prosopagnosia,disease
acquisition,
act,
acth,
acting,psychology
action,psychology
action execution,psychology
action initiation,psychology
action observation,
action perception,psychology
activation,psychology
activation level,psychology
activation patient,psychology
active,
active learning,psychology
active maintenance,psychology
active retrieval,psychology
activities,
activities motor,psychology
activity,
activity motor,psychology
acts,
acuities,
acuity,psychology
acupuncture,
acute,
acute brain injury,disease
acute disseminated encephalomyelitis,disease
acute stroke,disease
ad,
adams,
adaptation,psychology
adaptive,
adaptive behavior,psychology
adaptive control,psychology
add,
addiction,psychology
addictive,
addictive behavior,psychology
addition,
adenoma,disease
adhd,
adherence,
adherence medication,psychology
adherence treatment,psychology
adhesion,anatomy
adjustment,psychology
adjustment disorder,disease
adolescent,
adolescent behavior,psychology
adolescent development,psychology
adolescents,
adrenal,
adrenergic,
adrenocorticotropic,
adult,disease
adult children,psychology
adult offspring,psychology
adulthood,
advanced,
adverse,
adverse childhood experiences,psychology
aesthetics,psychology
affect,psychology
affect perception,psychology
affect recognition,psychology
affective,
affective disorder,psychology
affective psychoses,psychology
affective symptoms,psychology
afferent,
aftereffect,
afterimages,psychology
age,
age parental,psychology
age related macular degeneration,disease
ageing,
agency,psychology
agenesis,
agenesis corpus callosum,disease
agent,
ages,
aggregate,
aggressive,psychology
aging,
aging well,psychology
agitated,
agitation,
agnosia,disease
agonistic,
agoraphobia,disease
agranular,
agranular cortex,anatomy
agranular insular cortex,anatomy
agraphia,disease
agreeableness,psychology
aids,
airway,
akathisia,disease
akinetic,
al,
ala,
alba,
album,
alcohol,disease
alcohol abstinence,psychology
alcohol abuse,psychology
alcohol addiction,psychology
alcohol consumption,psychology
alcohol dependence,psychology
alcohol drinking,psychology
alcohol use disorder,psychology
ald,disease
alert,
alexander,
alexia,disease
alexithymia,psychology
alff,
alice,
alien,
allergic,
allocortex,anatomy
allodynia,disease
alone,
alpha,disease
als,
alteration,
altered,
alternating,disease
altitudinal,
altruism,psychology
altruistic,
alveolar,psychology
alveus,anatomy
alzheimer,
alzheimer dementia,disease
alzheimer disease,disease
amaral,
amaurosis,disease
ambient,
ambiguity,
ambiguous,
amblyopia,disease
ammon,
ammon horn,anatomy
ammonis,
amnesia,disease
amnestic,
amodal,
amphetamine,
amygdala,anatomy
amygdala anterior,
amygdala basolateral,anatomy
amygdala central,anatomy
amygdala cortical,anatomy
amygdala hippocampus,
amygdala insula,
amygdala response,
amygdaloid,
amygdaloid complex,anatomy
amyloid,
amyotrophic,disease
amyotrophic lateral sclerosis,disease
anal,
analgesic,
analog,psychology
analogical,
analogical reasoning,psychology
analysis,
anatomical,
anchoring,psychology
andrade,
andreas,
anesthesia,
aneurysm,
angel,
anger,psychology
angioma,
angiopathy,
angle,anatomy
angry,
angular,
angular gyrus,anatomy
anhedonia,disease
animacy,
animal,psychology
animal behavior,psychology
animal vocalizations,psychology
ankle,
anlage,
anniversary,
annular,
anomalies,
anomalous,
anomaly,disease
anomia,disease
anorexia,psychology
anorexia nervosa,psychology
anosognosia,disease
anoxia,
anoxic,
ans,
antenatal,
anterior,anatomy
anterior cingulate,anatomy
anterior cingulate area,anatomy
anterior cingulate cortex,anatomy
anterior cingulate cortices,anatomy
anterior cingulate gyrus,anatomy
anterior commissure,anatomy
anterior corona radiata,anatomy
anterior frontal cortex,anatomy
anterior hippocampus,
anterior horn,anatomy
anterior hypothalamus,anatomy
anterior insula,anatomy
anterior intraparietal,
anterior limb internal capsule,anatomy
anterior lobe cerebellum,anatomy
anterior medial,
anterior midbody,anatomy
anterior midcingulate cortex,anatomy
anterior olfactory nucleus,anatomy
anterior parahippocampal gyrus,anatomy
anterior parietal cortex,anatomy
anterior pituitary gland,anatomy
anterior posterior,
anterior prefrontal,
anterior superior,
anterior superior temporal sulcus,anatomy
anterior temporal,
anterior thalamic nuclei,anatomy
anterior thalamic nucleus,anatomy
anterior thalamic radiation,anatomy
anterior thalamus,anatomy
anterodorsal,
anterograde,disease
anterograde amnesia,psychology
anterolateral,
anteromedial,
anteroventral,
anti,
antibody,
anticipation,psychology
antisocial,
antisocial personality,psychology
antisocial personality disorder,psychology
anton,
anus,
anxieties,
anxiety,psychology
anxiety disorder,disease
anxiety disorder social,psychology
anxiety social,psychology
aob,
aon,
aortic,
apathy,psychology
aperture,
apex,anatomy
aphasia,disease
apical,
apnea,
apoptosis,
apparent,
apparent motion,psychology
appendicular,
appetitive,psychology
appetitive behavior,psychology
appetitive motivation,psychology
appraisal,
approach,
approach behavior,psychology
apraxia,psychology
aqueduct,anatomy
arachnoid,anatomy
arbitration,psychology
arbor,anatomy
arch,
archaic,
architecture,
arcuate,
arcuate fasciculus,anatomy
arcuate nucleus,anatomy
arcuate nucleus hypothalamus,anatomy
arcuate sulcus,anatomy
area,anatomy
area 1,anatomy
area 10,anatomy
area 11,anatomy
area 12,anatomy
area 13,anatomy
area 14,anatomy
area 19,anatomy
area 2,anatomy
area 24,anatomy
area 25,anatomy
area 3,anatomy
area 30,anatomy
area 32,anatomy
area 44,anatomy
area 45,anatomy
area 46,anatomy
area 5,anatomy
area 7,anatomy
area 8,anatomy
area 9,anatomy
area f5,anatomy
area postrema,anatomy
area primary motor,anatomy
area si,anatomy
area x,anatomy
areas auditory,anatomy
areas brodmann,anatomy
areas cingulate,anatomy
areas motor,anatomy
areas premotor,anatomy
areas sensorimotor,anatomy
areas supplementary motor,anatomy
areflexia,
arithmetic,
arithmetic processing,psychology
arm,
arnold,
arousal,psychology
arranged,
arrest,
arsenic,disease
arterial,
arterial spin,
arteriopathy,
arteriosclerosis,
arteriovenous,
arteritis,disease
artery,
arthralgia,psychology
articulation,disease
articulatory planning,psychology
articulatory rehearsal,psychology
artistic,
ascending,
ascending fibers,anatomy
ascending reticular activating system,anatomy
asd,
asian,
asp,
aspartate,
asperger,
asperger disorder,psychology
asperger syndrome,disease
aspergillosis,
aspiration,psychology
assembly,
assertiveness,psychology
assessment,
assessment self,psychology
assimilation,psychology
assisted,
associated,psychology
association cortex,anatomy
association learning,psychology
asthenia,disease
astrocytes,disease
asymmetry,
asymptomatic,disease
ataxia,disease
ataxia telangiectasia,disease
ataxic,disease
atd,
atherosclerosis,
athlete,
atonic,
atresia,
atrial,
atrium,
atrophic,disease
atrophy,disease
ats,
attachment,psychology
attack,disease
attempted,
attempted suicide,psychology
attendance,
attended,
attended stimulus,psychology
attending,
attention,psychology
attention biased,psychology
attention capacity,psychology
attention deficit,
attention deficit disorder,psychology
attention deficit hyperactivity disorder,psychology
attention network,
attention shift,psychology
attention shifting,psychology
attention span,psychology
