pmid,title,pubmed_url
9405692,Role of left inferior prefrontal cortex in retrieval of semantic knowledge: A reevaluation,https://www.ncbi.nlm.nih.gov/pubmed/9405692
9990082,Covariation of activity in visual and prefrontal cortex  associated with subjective visual perception,https://www.ncbi.nlm.nih.gov/pubmed/9990082
10202567,Neural Correlates of Exposure to Traumatic Pictures and Sound in Vietnam Combat Veterans with and without Posttraumatic Stress Disorder: A Positron Emission Tomography Study,https://www.ncbi.nlm.nih.gov/pubmed/10202567
10439584,Neuroanatomic substrates of semantic memory impairment in Alzheimer’s disease: Patterns of functional MRI activation,https://www.ncbi.nlm.nih.gov/pubmed/10439584
10523407,Functional MRI localisation of central nervous system regions associated with volitional inspiration in humans,https://www.ncbi.nlm.nih.gov/pubmed/10523407
10666552,Replication and further studies of neural mechanisms of spatial mnemonic processing in humans,https://www.ncbi.nlm.nih.gov/pubmed/10666552
10666559,Functional asymmetry of human prefrontal cortex in verbal and non-verbal episodic memory as revealed by fMRI,https://www.ncbi.nlm.nih.gov/pubmed/10666559
10666562,Prefrontal cortex activation in task switching: an event-related fMRI study,https://www.ncbi.nlm.nih.gov/pubmed/10666562
10900023,"Dissociation of response conflict, attentional selection, and expectancy with functional magnetic resonance imaging",https://www.ncbi.nlm.nih.gov/pubmed/10900023
11209064,INAUGURAL ARTICLE by a Recently Elected Academy Member:A default mode of brain function,https://www.ncbi.nlm.nih.gov/pubmed/11209064
11273413,FUNCTIONAL NEUROANATOMY OF THE COGNITIVE PROCESS OF MAPPING DURING DISCOURSE COMPREHENSION,https://www.ncbi.nlm.nih.gov/pubmed/11273413
11553776,Functional neuroanatomy of biological motion perception in humans,https://www.ncbi.nlm.nih.gov/pubmed/11553776
11584070,"Brain Activity During the Encoding, Retention, and Retrieval of Stimulus Representations",https://www.ncbi.nlm.nih.gov/pubmed/11584070
11784773,Adaptive Changes in Early and Late Blind: A fMRI Study of Braille Reading,https://www.ncbi.nlm.nih.gov/pubmed/11784773
11804576,Immature Frontal Lobe Contributions to Cognitive Control in Children: Evidence from fMRI,https://www.ncbi.nlm.nih.gov/pubmed/11804576
11904454,Integration of emotion and cognition in the lateral prefrontal cortex,https://www.ncbi.nlm.nih.gov/pubmed/11904454
12139956,Adult Age Differences in Visual Word Identification: Functional Neuroanatomy by Positron Emission Tomography,https://www.ncbi.nlm.nih.gov/pubmed/12139956
12146684,Working Memory for Complex Figures: An fMRI Comparison of Letter and Fractal n-Back Tasks,https://www.ncbi.nlm.nih.gov/pubmed/12146684
12244209,Neural basis of protracted developmental changes in visuo-spatial working memory,https://www.ncbi.nlm.nih.gov/pubmed/12244209
12417766,Distinct neural systems subserve person and object knowledge,https://www.ncbi.nlm.nih.gov/pubmed/12417766
12466452,Adaptive Changes in Early and Late Blind: A fMRI Study of Verb Generation to Heard Nouns,https://www.ncbi.nlm.nih.gov/pubmed/12466452
12498745,Voxel-Based Morphometric Analysis of Gray Matter in First Episode Schizophrenia,https://www.ncbi.nlm.nih.gov/pubmed/12498745
12506194,Functional connectivity in the resting brain: A network analysis of the default mode hypothesis,https://www.ncbi.nlm.nih.gov/pubmed/12506194
